Cited in,Work_id,Title,First author,First author id,Institution name,Affiliation
https://openalex.org/W2883072253,https://openalex.org/W1601560614,Role of microstructure in the electron–hole interaction of hybrid lead halide perovskites,Giulia Grancini,https://openalex.org/A5045697365,Italian Institute of Technology,['Italian Institute of Technology.']
https://openalex.org/W2883072253,https://openalex.org/W1614533393,"Magneto-optical study on excitonic spectra in (<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">C</mml:mi></mml:mrow><mml:mrow><mml:mn>6</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">H</mml:mi></mml:mrow><mml:mrow><mml:mn>13</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math…",Takeshi Kataoka,https://openalex.org/A5063022637,The University of Tokyo,"['Department of Applied Physics, Faculty of Engineering, The University of Tokyo, 7‐3‐1, Hongo, Bunkyo‐ku, Tokyo 113, Japan']"
https://openalex.org/W2883072253,https://openalex.org/W1627960084,"Localization of triplet excitons and biexcitons in the two-dimensional semiconductor<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mo>(</mml:mo><mml:mi mathvariant=""normal"">C</mml:mi><mml:msub><mml:mi mathvariant=""normal"">H</mml:mi><mml:mn>3</mml:mn></mml:msub><mml:msub><mml:mi mathvariant=""normal"">C</mml:mi><mml:mn>6</mml:mn></mml:msub><mml:msub><mml:mi mathvariant=""normal"">H</mml:mi><mml:mn>4</mml:mn></mml:msub><mml:mi mathvariant…",T. Goto,https://openalex.org/A5101845185,Tohoku University,"['Center for Interdisciplinary Research, Tohoku University, Sendai 980-8578, Japan']"
https://openalex.org/W2883072253,https://openalex.org/W1857108988,"Lattice dynamics and vibrational spectra of the orthorhombic, tetragonal, and cubic phases of methylammonium lead iodide",Federico Brivio,https://openalex.org/A5045962233,University of Bath,"['Centre for Sustainable Chemical Technologies and Department of Chemistry, University of Bath, Claverton Down,Bath BA2 7AY,United Kingdom']"
https://openalex.org/W2883072253,https://openalex.org/W1963779543,Polaronic effects on excitons in quantum wells,Ruisheng Zheng,https://openalex.org/A5009213585,Yamaguchi University,"['Department of Advanced Materials Science and Engineering, Faculty of Engineering, Yamaguchi University, Ube, 755, Japan', 'Physics Department, Inner Mongolia University, Hohhot, 010021, China']"
https://openalex.org/W2883072253,https://openalex.org/W1964922060,Generating coherent THz phonons with light pulses,R. Merlín,https://openalex.org/A5079126259,University of Michigan–Ann Arbor,"['Center for Ultrafast Optical Science, The University of Michigan, Ann Arbor, MI 48109, U.S.A.', 'The Harrison M. Randall Laboratory of Physics, The University of Michigan, Ann Arbor, MI 48109, U.S.A.']"
https://openalex.org/W2883072253,https://openalex.org/W1972802851,Coherent Phonon Dynamics in Semiconducting Carbon Nanotubes: A Quantitative Study of Electron-Phonon Coupling,Larry Lüer,https://openalex.org/A5013887138,Politecnico di Milano,"['National Laboratory for Ultrafast and Ultraintense Optical Science, Dipartimento di Fisica, Politecnico di Milano, Piazza L. da Vinci 32, 20133 Milano, Italy.']"
https://openalex.org/W2883072253,https://openalex.org/W1973398121,Biexciton lasing in the layered perovskite-type material (C6H13NH3)2PbI4,Takashi Kondo,https://openalex.org/A5020982275,The University of Tokyo,"['Department of Applied Physics, Faculty of Engineering, The University of Tokyo, 7‐3‐1, Hongo, Bunkyo‐ku, Tokyo 113, Japan']"
https://openalex.org/W2883072253,https://openalex.org/W1981368803,Generalized Gradient Approximation Made Simple,John P. Perdew,https://openalex.org/A5014987686,Tulane University,"['Department of Physics and Quantum Theory Group, Tulane University, New Orleans, Louisiana 70118']"
https://openalex.org/W2883072253,https://openalex.org/W2033597029,Electronic and Excitonic Structures of Inorganic–Organic Perovskite-Type Quantum-Well Crystal (C<sub>4</sub>H<sub>9</sub>NH<sub>3</sub>)<sub>2</sub>PbBr<sub>4</sub>,Ken’ichiro Tanaka,https://openalex.org/A5028278086,The University of Tokyo,"['Department of Materials Science, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-8656, Japan']"
